GOLDEN GUN	DEMERARA SYRUP		SYRUP (DEMERARA)	97
GOLDEN GUN	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	97
GOLDEN GUN	BLENDED AGED RUM	3	RUM (BLENDED AGED)	97
GOLDEN GUN	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	97
GOLDEN GUN	ANGOSTURA BITTERS		BITTERS (AROMATIC)	97
				
HINKY DINKS FIZZY	SPARKLING WINE		WINE (SPARKLING)	97
HINKY DINKS FIZZY	PINEAPPLE JUICE		JUICE (PINEAPPLE)	97
HINKY DINKS FIZZY	LIME JUICE		JUICE (LIME)	97
HINKY DINKS FIZZY	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	97
HINKY DINKS FIZZY	APRICOT LIQUEUR (SUCH AS ROTHMAN & WINTER APRICOT LIQUEUR OR GIFFARD ABRICOT DU ROUSSILLON)		LIQUEUR (APRICOT)	97
HINKY DINKS FIZZY	LONDON DRY GIN		GIN (LONDON DRY)	97
HINKY DINKS FIZZY	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	97
				
PAMPANITO	LEMON JUICE		JUICE (LEMON)	115
PAMPANITO	MOLASSES SYRUP		SYRUP (MOLASSES)	115
PAMPANITO	SELTZER		SODA	115
PAMPANITO	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	115
PAMPANITO	BLACK BLENDED RUM	5	RUM (BLACK BLENDED)	115
PAMPANITO	ANGOSTURA BITTERS		BITTERS (AROMATIC)	115
				
MAX'S MISTAKE	LEMON JUICE		JUICE (LEMON)	115
MAX'S MISTAKE	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	115
MAX'S MISTAKE	HONEY SYRUP		SYRUP (HONEY)	115
MAX'S MISTAKE	LONDON DRY GIN		GIN (LONDON DRY)	115
MAX'S MISTAKE	ANGOSTURA BITTERS		BITTERS (AROMATIC)	115
MAX'S MISTAKE	FENTIMANS VICTORIAN LEMONADE (OR ANY QUALITY DRY SPARKLING LEMONADE)		SPARKLING LEMONADE	115
				
LA GUILDIVE	GINGER BEER		BEER (GINGER)	116
LA GUILDIVE	LIME JUICE		JUICE (LIME)	116
LA GUILDIVE	LICOR 43		LIQUEUR (LICOR 43)	116
LA GUILDIVE	PEACH LIQUEUR (SUCH AS MATHILDE PEACH OR COMBIER CRÈME DE PÊCHE DE VIGNE)		LIQUEUR (PEACH)	116
LA GUILDIVE	BLENDED AGED RUM	3	RUM (BLENDED AGED)	116
LA GUILDIVE	GRATED CINNAMON		SPICE (CINNAMON)	116
				
THE TWENTY SEVENTY SWIZZLE	LIME JUICE		JUICE (LIME)	116
THE TWENTY SEVENTY SWIZZLE	DEMERARA SYRUP		SYRUP (DEMERARA)	116
THE TWENTY SEVENTY SWIZZLE	HONEY SYRUP		SYRUP (HONEY)	116
THE TWENTY SEVENTY SWIZZLE	ST. ELIZABETH ALLSPICE DRAM		LIQUEUR (ALLSPICE DRAM)	116
THE TWENTY SEVENTY SWIZZLE	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	116
THE TWENTY SEVENTY SWIZZLE	BLACK BLENDED OVERPROOF RUM	6	RUM (BLACK BLENDED OVERPROOF)	116
THE TWENTY SEVENTY SWIZZLE	HERBSTURA		BITTERS (HERBSTURA)	116
THE TWENTY SEVENTY SWIZZLE	GRATED NUTMEG		SPICE (NUTMEG)	116
				
SHUDDERS IN A WHISPER	LIME JUICE		JUICE (LIME)	118
SHUDDERS IN A WHISPER	PASSION FRUIT SYRUP		SYRUP (PASSION FRUIT)	118
SHUDDERS IN A WHISPER	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	118
SHUDDERS IN A WHISPER	DRAMBUIE LIQUEUR		LIQUEUR (DRAMBUIE)	118
SHUDDERS IN A WHISPER	SELTZER		SODA	118
SHUDDERS IN A WHISPER	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	118
SHUDDERS IN A WHISPER	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	118
SHUDDERS IN A WHISPER	ANGOSTURA BITTERS		BITTERS (AROMATIC)	118
				
CUEVAS	CINNAMON SYRUP		SYRUP (CINNAMON)	118
CUEVAS	PUNT E MES		VERMOUTH (SWEET)	118
CUEVAS	TAWNY PORT		PORT (TAWNY)	118
CUEVAS	BLENDED AGED RUM	3	RUM (BLENDED AGED)	118
CUEVAS	BITTERMENS 'ELEMAKULE TIKI BITTERS		BITTERS (TIKI)	118
				
NORWEGIAN PARALYSIS	ORANGE JUICE		JUICE (ORANGE)	119
NORWEGIAN PARALYSIS	PINEAPPLE JUICE		JUICE (PINEAPPLE)	119
NORWEGIAN PARALYSIS	LEMON JUICE		JUICE (LEMON)	119
NORWEGIAN PARALYSIS	DEMERARA SYRUP		SYRUP (DEMERARA)	119
NORWEGIAN PARALYSIS	ORGEAT		SYRUP (ALMOND)	119
NORWEGIAN PARALYSIS	AQUAVIT		AQUAVIT	119
				
JUAN HO ROYALE	CHAMPAGNE OR SPARKLING WINE		WINE (SPARKLING)	119
JUAN HO ROYALE	LIME JUICE		JUICE (LIME)	119
JUAN HO ROYALE	ORGEAT		SYRUP (ALMOND)	119
JUAN HO ROYALE	BLUE CURACAO		LIQUEUR (ORANGE BLUE)	119
JUAN HO ROYALE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	119
JUAN HO ROYALE	TEQUILA BLANCO		TEQUILA (BLANCO)	119
				
CHARTREUSE SWIZZLE	PINEAPPLE JUICE		JUICE (PINEAPPLE)	120
CHARTREUSE SWIZZLE	LIME JUICE		JUICE (LIME)	120
CHARTREUSE SWIZZLE	JOHN D. TAYLOR'S VELVET FALERNUM		LIQUEUR (FALERNUM)	120
CHARTREUSE SWIZZLE	GREEN CHARTREUSE		LIQUEUR (CHARTREUSE GREEN)	120
				
ROSELITA	SELTZER		SODA	120
ROSELITA	LIME JUICE		JUICE (LIME)	120
ROSELITA	ORGEAT		SYRUP (ALMOND)	120
ROSELITA	HIBISCUS LIQUEUR		LIQUEUR (HIBISCUS)	120
ROSELITA	PEAR LIQUEUR (SUCH AS MATHILDE POIRE)		LIQUEUR (PEAR)	120
ROSELITA	COLUMN STILL AGED RUM	4	RUM (COLUMN STILL AGED)	120
ROSELITA	PEYCHAUD'S BITTERS		BITTERS (CREOLE)	120
				
CENTER OF THE GALAXY	LIME JUICE		JUICE (LIME)	121
CENTER OF THE GALAXY	DEMERARA SYRUP		SYRUP (DEMERARA)	121
CENTER OF THE GALAXY	HONEY SYRUP		SYRUP (HONEY)	121
CENTER OF THE GALAXY	ST. GEORGE RASPBERRY LIQUEUR		LIQUEUR (RASPBERRY)	121
CENTER OF THE GALAXY	BLENDED AGED RUM	3	RUM (BLENDED AGED)	121
CENTER OF THE GALAXY	GROUND CINNAMON		SPICE (CINNAMON)	121
				
CALLALOO COOLER	SELTZER		SODA	121
CALLALOO COOLER	LIME JUICE		JUICE (LIME)	121
CALLALOO COOLER	CINNAMON SYRUP		SYRUP (CINNAMON)	121
CALLALOO COOLER	CHERRY HEERING LIQUEUR		LIQUEUR (CHERRY HEERING)	121
CALLALOO COOLER	BLENDED LIGHTLY AGED RUM	2	RUM (BLENDED LIGHTLY AGED)	121
CALLALOO COOLER	ANGOSTURA BITTERS		BITTERS (AROMATIC)	121
				
TOP NOTCH VOLCANO	LIME JUICE		JUICE (LIME)	134
TOP NOTCH VOLCANO	PINEAPPLE JUICE		JUICE (PINEAPPLE)	134
